1989-10-30	DATE	1989-10-30
September	DATE	1989-09
this month	DATE	1989-10
now	DATE	PRESENT_REF
past years	DATE	PAST_REF
these days	DATE	PRESENT_REF
1987	DATE	1987
Eight trading days	DURATION	P8D
Oct. 12	DATE	1989-10-12
the day	DATE	1989-10-12
Three days	DURATION	P3D
Friday	DATE	1989-10-27
Friday	DATE	1989-10-27
the week	DATE	1989-WXX
Friday	DATE	1989-10-27
Friday	DATE	1989-10-27
October	DATE	1989-10
now	DATE	PRESENT_REF
Thursday	DATE	1989-10-26
two to three weeks	DURATION	P2W
third-quarter	DATE	1989-Q3
last year	DATE	1988
the 1988 quarter	DATE	1988-Q3

1989-11-02	DATE	1989-11-02
the six months	DURATION	P6M
Oct. 1	DATE	1989-10-01
the latest period	DATE	1989-Q3
1988	DATE	1998
this year	DATE	1989
last year	DATE	1988
yesterday	DATE	1989-11-01
a year earlier	DATE	1988-11-02

1989-10-26	DATE	1989-10-26
the fiscal first quarter	DATE	1989-Q1
the quarter	DURATION	P1Q
Sept. 29	DATE	1989-09-29
a year earlier	DATE	1988-QX
the 1988 period	DATE	1988-Q1
this month	DATE	1989-10
the quarter	DURATION	1989-Q1
April	DATE	1988-04
the quarter	DATE	1989-Q1
April	DATE	1989-04
the summer	DATE	1989-SU
its fourth quarter	DATE	1989-Q4
June 30	DATE	1989-06-30
this year	DATE	1989
the fiscal year	DURATION	P1Y
Recently	DATE	PAST_REF
early next year	DATE	1990

1998-04-02T22:52:00	TIME	1998-04-02T22:52:00
Thursday	DATE	1998-04-02
the last five years	DURATION	P5Y
recent months	DURATION	PXM
last year	DATE	1997
1993	DATE	1993
Tuesday	DATE	1998-03-31

1998-02-16	DATE	1998-02-16
last week	DATE	1998-W07

1989-10-30	DATE	1989-10-30
six months	DURATION	P6M
the year	DATE	1989
June	DATE	1989-06
March	DATE	1989-03
this year	DATE	1989-10-30
the first nine months	DURATION	P9M
the year	DATE	1989
recently	DATE	PAST_REF
Friday	DATE	1989-10-27
1987	DATE	1987
Sept. 29	DATE	1989-09-29
this year	DATE	1989

1989-10-30	DATE	1989-10-30
months ago	DURATION	PXM
soon	DATE	FUTURE_REF
now	DATE	PRESENT_REF
five-year	DURATION	P5Y
that time	DURATION	P5Y
this year	DATE	1989
next year	DATE	1990
recent	DATE	PAST_REF
1990	DATE	1990
a good part of 1990	DATE	1990
next year	DATE	1990
recent months	DURATION	PXM
January	DATE	1990-01
Last week	DATE	1989-WXX
third-quarter	DATE	1989-Q3
the first nine months	DURATION	P9M
recently	DATE	PAST_REF
several quarters	DURATION	PXQ
recently	DATE	PAST_REF
the end of 1990	DATE	1990
this past spring	DATE	1989-SP

1989-10-30	DATE	1989-10-30
March 15, 2007	DATE	2007-03-15

1989-11-01	DATE	1989-11-01
third-quarter	DATE	1989-Q3
the quarter	DATE	1989-Q3
Sept. 30	DATE	1989-09-30
the year-ago quarter	DATE	1988-Q3
year-ago	DATE	1988-Q3
the third quarter	DATE	1989-Q3

1989-11-01	DATE	1989-11-01
the year	DURATION	P1Y
March 31	DATE	1989-03-31
currently	DATE	PRESENT_REF

1998-04-24T21:49:00	TIME	1998-04-24T21:49:00
Saturday, April 25	DATE	1998-04-25
this week	DATE	1998-W17
two years ago	DATE	1996
current	DATE	PRESENT_REF

1998-02-27T08:02:00	TIME	1998-02-27T08:02:00
Friday	DATE	1998-02-27
1988	DATE	1988
1995	DATE	1995
1971	DATE	1971

1989-10-27	DATE	1989-10-27
Last week	DATE	1989-WXX
the past two months	DURATION	P2M
the past two months	DURATION	P2M
recent	DATE	PAST_REF
the weeks ahead	DURATION	PXW
recent years	DATE	PAST_REF
the past two months	DURATION	P2M
last week	DATE	1989-WXX
week	DATE	1989-WXX
last month	DATE	1989-09
every month	SET	P1M
the last three years	DURATION	P3Y
this month	DATE	1989-10
early September	DATE	1989-09
Friday Oct. 13	DATE	1989-10-13
now	DATE	PRESENT_REF
the past two months	DURATION	P2M
this year	DATE	1989
August	DATE	1989-08
The last two months	DURATION	P2M
this year	DATE	1989
Oct. 19	DATE	1989-10-19
this year	DATE	1989
Oct. 19	DATE	1989-10-19
now	DATE	PRESENT_REF
recent weeks and months	DATE	PAST_REF

1998-02-27	DATE	1998-02-27
last month	DATE	1998-01
nineteen ninety-six	DATE	1996
January nineteen ninety-seven	DATE	1997-01
last month	DATE	1998-01
Now	DATE	PRESENT_REF
nineteen ninety-seven	DATE	1997
this week	DATE	1998-WXX

1989-10-26	DATE	1989-10-26
