2001-02-01	DATE	2001-02-01
futuro	DATE	FUTURE_REF

2002-01-02	DATE	2002-01-02
mañana	DATE	2002-01-03
el viernes	DATE	2002-01-04
hoy	DATE	2002-01-02
el día 8	DATE	2002-01-08

2000-09-03	DATE	2000-09-03

2000-10-01	DATE	2000-10-01
ahora	DATE	PRESENT_REF

2001-01-02	DATE	2001-01-02

1999-02-02	DATE	1999-02-02
años	DURATION	PXY
65 años	DURATION	P65Y
57 años	DURATION	P57Y

2000-12-02	DATE	2000-12-02
ayer	DATE	2000-12-01
estos momentos	DATE	PRESENT_REF
10 años	DURATION	P10Y
1998	DATE	1998
cuatro años	DURATION	P4Y
cuatro años	DURATION	P4Y
1994	DATE	1994
ahora	DATE	PRESENT_REF
ayer	DATE	2000-12-01
el año próximo	DATE	2001

1998-12-01	DATE	1998-12-01
este año	DATE	1998
ayer	DATE	1998-11-30
10 años	DURATION	P10Y

1999-07-01	DATE	1999-07-01
pasado	DATE	PAST_REF
ayer	DATE	1999-06-30
ayer	DATE	1999-06-30
este año	DATE	1999
momentáneo	DATE	PRESENT_REF
el pasado Sábado	DATE	1999-06-26

2000-02-02	DATE	2000-02-02
ayer	DATE	2000-02-01
dos días	DURATION	P2D
ayer	DATE	2000-02-01
su 107 mes	DURATION	P107M
1999	DATE	1999
actual	DATE	PRESENT_REF

1998-12-01	DATE	1998-12-01
ahora	DATE	PRESENT_REF
hace tiempo	DURATION	PXM
El próximo Lunes	DATE	1998-12-07
mensual	SET	P1M
dos días	DURATION	P2D
momento	DATE	PRESENT_REF
Navidad	DATE	1998-12-25
del Sábado	DATE	1998-11-28
futuro	DATE	FUTURE_REF
Ayer	DATE	1998-11-30
del Sábado	DATE	1998-12-05
ahora	DATE	PRESENT_REF
ayer	DATE	1998-11-30

2001-04-02	DATE	2001-04-02
hoy	DATE	2001-04-02
el próximo 2 de mayo	DATE	2001-05-02
del 7	DATE	2001-09-07
al 11 de septiembre	DATE	2001-09-11

2000-06-01	DATE	2000-06-01
1999	DATE	1999
anuales	SET	P1Y
la década de los noventa	DATE	199
Actualmente	DATE	PRESENT_REF
al año	SET	P1Y
al año	SET	P1Y
el 5	DATE	2000-06-05
el 6 de junio	DATE	2000-06-06
la última semana	DATE	2000-W22
hoy, jueves	DATE	2000-06-01
del próximo domingo	DATE	2000-06-04
ayer, miércoles	DATE	2000-05-31
la semana pasada	DATE	2000-W21
hoy	DATE	2000-06-01
hoy	DATE	2000-06-01

2000-07-15	DATE	2000-07-15
mañana	DATE	2000-07-16
del 2002	DATE	2002
cada día	SET	P1D
hoy	DATE	2000-07-15
Ahora	DATE	PRESENT_REF
mañana, domingo	DATE	2000-07-16
las 08.00 hora local	TIME	2000-07-16T08:00
13.00 gmt	TIME	2000-07-16T13:00Z
el jueves venidero	DATE	2000-07-20
el próximo 25 de julio	DATE	2000-07-25

2000-06-01	DATE	2000-06-01
hoy	DATE	2000-06-01
el 9	DATE	2000-06-09
10 de junio	DATE	2000-06-10
la próxima semana	DATE	2000-W23
hace más de 30 años	DATE	1970
hoy	DATE	2000-06-01
hace 14 días	DATE	2000-05-18
hoy	DATE	2000-06-01
el lunes	DATE	2000-05-29
20 de mayo	DATE	2000-05-20
Ayer	DATE	2000-05-31
el lunes pasado	DATE	2000-05-22
unos tres años	DURATION	P3Y
la fecha	DATE	2000-06-01
hoy jueves	DATE	2000-06-01
esta noche	TIME	2000-06-01TNI
las 8.15	TIME	2000-06-01T08:15
07.15 gmt	TIME	2000-06-01T07:15Z
este semestre	DATE	2000-H2
el martes pasado	DATE	2000-05-30
ayer	DATE	2000-05-31
20 minutos	DURATION	PT20M
el pasado domingo	DATE	2000-05-28

1998-12-02	DATE	1998-12-02
ayer	DATE	1998-12-01
del pasado sábado	DATE	1998-11-28
el día inaugural	DATE	1998-11-28
el primer día	DATE	XXXX-XX-XX
ayer	DATE	1998-12-01
el año próximo	DATE	1999

2000-04-16	DATE	2000-04-16
cinco meses	DURATION	P5M
mensual	SET	P1M
hoy	DATE	2000-04-16
ahora	DATE	PRESENT_REF
al final del año próximo	DATE	2001
varios meses	DURATION	PXM
diario	SET	P1D
la jornada anterior	DATE	XXXX-XX-XX
el futuro	DATE	FUTURE_REF
la actualidad	DATE	PRESENT_REF
mayo	DATE	2000-05

2000-12-14	DATE	2000-12-14
los próximos meses	DURATION	PXM
dos años	DURATION	P2Y
junio pasado	DATE	2000-06
hoy, jueves	DATE	2000-12-14
dos años	DURATION	P2Y
unos meses	DURATION	PXM
ayer	DATE	2000-12-13
ayer	DATE	2000-12-13
futuras	DATE	FUTURE_REF
cada seis meses	SET	P6M

2001-01-03	DATE	2001-01-03
las seis de la mañana de ayer	TIME	2001-01-02T06:00
las 11.45 horas	TIME	2001-01-02T11:45

2000-03-13	DATE	2000-03-13
hoy	DATE	2000-03-13
ayer, domingo	DATE	2000-03-12
el pasado sábado	DATE	2000-03-11
este siglo	DATE	20
17 meses	DURATION	P17M
el pasado 2 de marzo	DATE	2000-03-02
las próximas horas	DURATION	PTXH
los próximos cuatro años	DURATION	P4Y

2001-07-02	DATE	2001-07-02

2001-03-02	DATE	2001-03-02
el 2000	DATE	2000
los últimos días	DURATION	PXD
el 2000	DATE	2000
ahora	DATE	PRESENT_REF

2001-08-02	DATE	2001-08-02
dos años y tres meses	DURATION	P2Y3M
finales de septiembre de 1998	DATE	1998-09
varios meses	DURATION	PXM

2002-01-03	DATE	2002-01-03
mañana	DATE	2002-01-04
Al día	DATE	2001-09-12
del imborrable 11 de septiembre	DATE	2001-09-11
mañana	DATE	2002-01-04
dos semanas y media	DURATION	P2.5W
del 11 de septiembre	DATE	2001-09-11
El día 12	DATE	2001-09-12
ese día	DATE	2001-09-12
esos momentos	DATE	PAST_REF
el 12 de septiembre	DATE	2001-09-12
un par de horas	DURATION	PT2H
ahora	DATE	PRESENT_REF
ahí	DATE	PAST_REF

2002-03-01	DATE	2002-03-01
Ayer	DATE	2002-02-28
el pasado año	DATE	2001
hoy	DATE	PRESENT_REF
El día anterior	DATE	2002-02-27
el año pasado	DATE	2001

2000-12-14	DATE	2000-12-14
hoy	DATE	2000-12-14
1934-1940	DATE	1934
los años 1988	DATE	1988
1994	DATE	1994
2000	DATE	2000
hace casi 100 días	DATE	2000-09-XX
1989	DATE	1989
30 horas	DURATION	PT30H
el pasado 10 de diciembre	DATE	2000-12-10
este año	DATE	2000
ahora	DATE	PRESENT_REF

2000-06-01	DATE	2000-06-01
hace 16 meses	DATE	1999-02
el momento	DATE	PAST_REF
el 28 de mayo	DATE	2000-05-28
el pasado jueves	DATE	2000-05-25
entonces	DATE	PAST_REF
la nueva fecha	DATE	XXXX-XX-XX
el 16	DATE	2000-06-16
el 25 de junio	DATE	2000-06-25
mañana, viernes	DATE	2000-06-02
hace unos días	DURATION	PXD
el pasado lunes	DATE	2000-05-29

2000-07-14	DATE	2000-07-14
mañana	DATE	2000-07-15
1995	DATE	1995
los últimos meses	DURATION	PXM
más de un año	DURATION	P1Y
dos días	DURATION	P2D
hace diez años	DATE	1990
principios de este año	DATE	2000
1990	DATE	1990
